kind,name,name_zh_hans,image_url,source_page,source,translation_source
furniture,Antique bed,古董床,https://pokopiadex.com/images/items/item_ui/antique-bed.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Antique chair,古董椅,https://pokopiadex.com/images/items/item_ui/antique-chair.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Antique chest,古董宝箱,https://pokopiadex.com/images/items/item_ui/antique-chest.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Antique closet,古董衣柜,https://pokopiadex.com/images/items/item_ui/antique-closet.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Antique dresser,古董梳妆台,https://pokopiadex.com/images/items/item_ui/antique-dresser.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Antique sofa,古董沙发,https://pokopiadex.com/images/items/item_ui/antique-sofa.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Antique table,古董桌,https://pokopiadex.com/images/items/item_ui/antique-table.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Avalugg Table,冰岩怪桌,https://pokopiadex.com/images/items/item_ui/avalugg-table.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Beach chair,沙滩椅,https://pokopiadex.com/images/items/crafting_ui/beach-chair.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Berry Case,树果箱,https://img.rankedboost.com/wp-content/plugins/pokopia/assets/items/berry-case.webp,https://rankedboost.com/pokopia/items/,rankedboost,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Berry bed,树果床,https://pokopiadex.com/images/items/item_ui/berry-bed.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Berry chair,树果椅,https://pokopiadex.com/images/items/item_ui/berry-chair.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Berry table,树果桌,https://pokopiadex.com/images/items/item_ui/berry-table.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Big Storage Box,大型收纳箱,https://pokopiadex.com/images/items/crafting_ui/big-storage-box.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Box sofa,箱型沙发,https://pokopiadex.com/images/items/item_ui/box-sofa.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Chic chair,时尚椅,https://pokopiadex.com/images/items/crafting_ui/chic-chair.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Chic sofa,时尚沙发,https://pokopiadex.com/images/items/item_ui/chic-sofa.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Chic table,时尚桌,https://pokopiadex.com/images/items/shop_ui/chic-table.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Counter,柜台,https://pokopiadex.com/images/items/item_ui/counter.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Cute bed,可爱床,https://pokopiadex.com/images/items/item_ui/cute-bed.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Cute chair,可爱椅,https://pokopiadex.com/images/items/item_ui/cute-chair.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Cute dresser,可爱梳妆台,https://pokopiadex.com/images/items/item_ui/cute-dresser.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Cute sofa,可爱沙发,https://pokopiadex.com/images/items/item_ui/cute-sofa.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Cute table,可爱桌,https://pokopiadex.com/images/items/item_ui/cute-table.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Deck Chair,躺椅,https://pokopiadex.com/images/items/item_ui/deck-chair.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Exhibition stand,展示架,https://pokopiadex.com/images/items/crafting_ui/exhibition-stand.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Fancy chair,华丽椅,https://pokopiadex.com/images/items/item_ui/fancy-chair.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Flower cushion,花朵坐垫,https://pokopiadex.com/images/items/item_ui/flower-cushion.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Flower table,花朵桌,https://pokopiadex.com/images/items/item_ui/flower-table.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Folding chair,折叠椅,https://pokopiadex.com/images/items/shop_ui/folding-chair.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Food counter,餐点柜台,https://pokopiadex.com/images/items/crafting_ui/food-counter.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Gaming Bed,电竞床,https://pokopiadex.com/images/items/item_ui/gaming-bed.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Gaming Chair,电竞椅,https://pokopiadex.com/images/items/item_ui/gaming-chair.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Gaming Fridge,电竞冰箱,https://pokopiadex.com/images/items/item_ui/gaming-fridge.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Garden bench,庭院长椅,https://pokopiadex.com/images/items/shop_ui/garden-bench.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Garden chair,庭院椅,https://pokopiadex.com/images/items/item_ui/garden-chair.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Garden table,庭院桌,https://pokopiadex.com/images/items/shop_ui/garden-table.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
furniture,Guest-room bed,客房床,https://pokopiadex.com/images/items/item_ui/guest-room-bed.png,https://pokopiadex.com/items/furniture,pokopiadex_furniture,infipoke_pokopia_items_or_crafting_zh_hans
